,Country,EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,IC.BUS.DFRN.XQ,IC.BUS.DISC.XQ,IC.BUS.EASE.XQ,IC.CRD.INFO.XQ,IC.CRD.PRVT.ZS,IC.CRD.PUBL.ZS,IC.ELC.TIME,IC.ISV.DURS,IC.LGL.CRED.XQ,IC.LGL.DURS,IC.PRP.DURS,IC.PRP.PROC,IC.REG.COST.PC.ZS,IC.REG.DURS,IC.REG.PROC,IC.TAX.DURS,IC.TAX.PAYM,IC.TAX.TOTL.CP.ZS,IC.WRH.DURS,IC.WRH.PROC,SG.GEN.PARL.ZS,SH.DTH.IMRT,SH.DTH.MORT,SH.DTH.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NMRT,SH.H2O.SAFE.RU.ZS,SH.H2O.SAFE.UR.ZS,SH.H2O.SAFE.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.STA.ACSN,SH.STA.ACSN.RU,SH.STA.ACSN.UR,SH.STA.MMRT,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN
61,Algeria,14.0,40.0,18.0,13.0,45.72,4.0,163.0,0.0,0.0,1.9,180.0,1.3,2.0,630.0,55.0,10.0,10.9,20.0,12.0,385.0,27.0,72.7,204.0,17.0,31.6017316017316,20899.0,24269.0,14773.0,25.5,24.0,26.8,15.5,81.8,84.3,83.6,1300.0,240.0,0.419341330359853,87.6,82.2,89.8,140.0,20.5,21.9,23.2
62,Kosovo,,,,,66.22,6.0,66.0,6.0,0.0,95.2,46.0,2.0,8.0,330.0,27.0,6.0,1.1,11.0,5.0,155.0,32.0,15.2,152.0,15.0,,,,,,,,,,,,,,,,,,,,,
63,Turkmenistan,20.0,11.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,25.8064516129032,5024.0,5868.0,2581.0,51.4,43.9,58.5,22.6,,,,47.0,940.0,0.10589831047025,,,,42.0,36.8,43.7,50.3
64,Mauritius,9.0,18.0,90.0,7.0,75.05,6.0,32.0,7.0,0.0,82.6,81.0,1.7,6.0,519.0,14.0,4.0,2.0,6.0,5.0,152.0,8.0,22.4,156.0,15.0,11.594202898550696,167.0,192.0,119.0,13.5,12.0,15.0,8.4,99.8,99.9,99.9,7.0,1300.0,0.0778929624701718,93.1,92.6,93.9,53.0,10.4,11.8,13.2
65,Estonia,8.0,5.0,2.0,1.0,79.49,8.0,16.0,7.0,34.7,0.0,91.0,3.0,7.0,425.0,17.5,3.0,1.3,3.5,3.0,81.0,8.0,49.4,102.0,10.0,23.7623762376238,28.0,37.0,18.0,2.9,2.6,3.2,1.5,99.0,100.0,99.6,1.0,6300.0,0.0158012739204395,97.2,96.6,97.5,9.0,2.1,2.3,2.6
66,Indonesia,131.0,150.0,426.0,185.0,58.12,10.0,109.0,6.0,0.0,48.5,79.0,1.9,5.0,471.0,27.4,5.0,19.9,47.8,13.0,234.0,54.0,29.7,210.2,17.0,17.1171171171171,125168.0,147162.0,73921.0,27.2,23.9,30.3,13.5,79.5,94.2,87.4,6400.0,320.0,0.314212197628261,60.8,47.5,72.3,126.0,19.9,22.8,25.6
67,Vietnam,46.0,76.0,199.0,54.0,62.1,7.0,90.0,7.0,6.9,41.5,59.0,5.0,7.0,400.0,57.5,5.0,4.9,20.0,10.0,770.0,30.0,39.4,166.0,10.0,24.297188755020102,27243.0,34191.0,17927.0,21.7,18.7,24.6,11.4,96.9,99.1,97.6,860.0,870.0,0.11447392276009301,78.0,69.7,94.4,54.0,15.0,17.3,19.6
68,Turkey,20.0,131.0,104.0,16.0,69.16,9.0,55.0,7.0,0.0,74.9,63.0,4.5,3.0,580.0,7.0,7.0,16.6,7.5,8.0,226.0,11.0,40.9,103.0,18.0,14.416058394160599,16325.0,18936.0,9980.0,13.5,12.4,14.6,7.1,100.0,100.0,100.0,210.0,3000.0,0.0337378993915986,94.9,85.5,98.3,16.0,10.6,11.6,12.5
69,Nigeria,21.0,71.0,198.0,29.0,44.69,7.0,169.0,6.0,6.7,0.1,181.2,2.0,6.0,509.8,69.6,12.1,31.7,30.8,8.7,907.9,59.0,33.3,106.3,16.1,5.55555555555556,484368.0,750111.0,240106.0,108.8,102.3,114.9,34.3,57.3,80.8,68.5,58000.0,22.0,4.50885329432898,29.0,25.4,32.8,814.0,62.9,69.4,75.7
70,Bhutan,20.0,3.0,18.0,26.0,65.21,4.0,71.0,6.0,23.2,0.0,61.0,,4.0,225.0,77.0,3.0,4.0,15.0,8.0,85.0,18.0,35.3,151.0,21.0,8.51063829787234,335.0,414.0,226.0,32.9,29.5,36.2,18.3,100.0,100.0,100.0,20.0,310.0,0.32489297363381603,50.4,33.1,77.9,148.0,24.3,27.2,30.0
71,Azerbaijan,18.0,12.0,42.0,6.0,67.8,10.0,63.0,6.0,0.0,33.6,87.0,1.5,2.0,277.0,8.5,3.0,1.2,3.0,2.0,195.0,7.0,39.8,203.0,18.0,15.5737704918033,6519.0,7206.0,4267.0,31.7,29.0,34.2,18.2,77.8,94.7,87.0,48.0,1600.0,0.0624985171781498,89.3,86.6,91.6,25.0,25.8,27.9,29.8
72,Pakistan,32.0,36.0,12.0,24.0,51.69,6.0,138.0,3.0,4.8,6.7,178.3,2.7,3.0,993.2,50.0,6.0,9.4,19.0,10.0,594.0,47.0,32.6,250.4,10.0,20.743034055727602,350600.0,431568.0,244746.0,81.1,77.4,84.6,45.5,89.9,93.9,91.4,9700.0,140.0,0.69344409134829,63.5,51.1,83.1,178.0,61.0,65.8,70.3
73,Jordan,13.0,13.0,1.0,12.0,57.84,4.0,113.0,0.0,0.0,2.4,50.0,3.0,0.0,689.0,21.0,7.0,20.7,12.0,7.0,151.0,25.0,29.5,63.0,16.0,12.0,3176.0,3670.0,2184.0,17.9,16.9,18.9,10.6,92.3,97.8,96.9,110.0,490.0,0.203553824435187,98.6,98.9,98.6,58.0,14.4,15.4,16.2
74,Montenegro,14.0,32.0,2.0,6.0,71.85,5.0,46.0,5.0,0.0,26.4,142.0,1.4,12.0,545.0,69.0,6.0,1.4,10.0,6.0,314.0,17.0,21.6,154.0,9.0,17.2839506172839,30.0,33.0,21.0,4.7,4.4,4.9,3.1,99.2,100.0,99.7,1.0,8300.0,0.0120434599757848,95.9,92.2,98.0,7.0,4.1,4.3,4.6
75,China,89.0,131.0,568.0,74.0,62.93,10.0,84.0,6.0,0.0,89.5,143.2,1.7,4.0,452.8,19.5,4.0,0.7,31.4,11.0,261.0,9.0,67.8,244.3,22.0,23.6228455559311,156450.0,181574.0,93435.0,10.7,10.0,11.3,5.5,93.0,97.5,95.5,4400.0,2400.0,0.0423007617254136,76.5,63.7,86.6,27.0,8.6,9.2,9.8
76,Zambia,18.0,20.0,20.0,11.0,60.5,4.0,97.0,8.0,8.9,0.0,117.0,2.4,7.0,611.0,45.0,5.0,33.6,7.5,6.0,157.0,26.0,18.6,208.0,10.0,12.658227848101301,26636.0,38990.0,13188.0,64.0,58.9,68.9,21.4,51.3,85.6,65.4,1400.0,79.0,1.2582492656878999,43.9,35.7,55.6,224.0,39.2,43.3,47.2
77,Romania,18.0,22.0,5.0,7.0,73.78,9.0,37.0,7.0,50.1,15.9,182.0,3.3,10.0,512.0,19.0,8.0,2.0,8.0,5.0,159.0,14.0,42.0,257.0,15.0,13.715710723192,1614.0,1882.0,1047.0,11.1,9.9,12.2,6.3,100.0,100.0,100.0,56.0,2300.0,0.0428982038241866,79.1,63.3,92.2,31.0,8.7,9.7,10.7
78,Serbia,13.0,15.0,6.0,6.0,68.41,4.0,59.0,7.0,100.0,0.0,131.0,2.0,5.0,635.0,54.0,6.0,6.6,12.0,6.0,244.3,42.0,39.7,272.0,18.0,34.0,547.0,619.0,389.0,6.7,6.0,7.3,4.2,98.9,99.4,99.2,15.0,3900.0,0.0259621357282899,96.4,94.2,98.2,17.0,5.2,5.9,6.5
79,Portugal,12.0,62.0,82.0,12.0,77.57,6.0,23.0,7.0,16.1,100.0,52.0,2.0,2.0,547.0,1.0,1.0,2.2,2.5,3.0,275.0,8.0,41.0,113.0,14.0,31.304347826087,251.0,304.0,167.0,3.6,3.3,3.9,2.0,100.0,100.0,100.0,8.0,8200.0,0.0122617624531247,99.7,99.8,99.6,10.0,2.7,3.0,3.2
80,Latvia,9.0,6.0,1.0,1.0,78.06,5.0,22.0,6.0,0.0,80.8,107.0,1.5,9.0,469.0,16.5,4.0,1.5,5.5,4.0,193.0,7.0,35.9,165.0,12.0,18.0,109.0,129.0,82.0,7.9,7.2,8.6,5.2,98.3,99.8,99.3,4.0,3500.0,0.0288391334987705,87.8,81.5,90.8,18.0,6.4,6.9,7.5
81,Philippines,89.0,77.0,239.0,39.0,60.07,2.0,103.0,5.0,14.0,0.0,42.0,2.7,3.0,842.0,35.0,9.0,16.1,29.0,16.0,193.0,36.0,42.9,98.0,24.0,27.2413793103448,52300.0,65613.0,29601.0,28.0,24.7,31.2,12.6,90.3,93.7,91.8,2700.0,280.0,0.35203815044424697,73.9,70.8,77.9,114.0,19.4,22.2,24.9
82,Morocco,15.0,54.0,36.0,16.0,64.51,6.0,75.0,6.0,23.4,0.0,57.0,3.5,2.0,510.0,30.0,5.0,9.1,10.0,4.0,211.0,6.0,49.1,91.0,13.0,16.9620253164557,17043.0,19759.0,12706.0,27.6,24.7,30.3,17.6,65.3,98.7,85.4,850.0,320.0,0.311359166630691,76.7,65.5,84.1,121.0,21.0,23.7,26.2
83,Mozambique,29.0,63.0,84.0,13.0,53.98,5.0,133.0,4.0,0.0,5.6,91.0,1.5,1.0,950.0,40.0,6.0,15.1,19.0,10.0,217.0,37.0,36.1,111.0,10.0,39.6,60138.0,82387.0,28799.0,78.5,73.9,82.9,27.1,37.0,80.6,51.1,5300.0,40.0,2.530774160985,20.5,10.1,42.4,489.0,52.7,56.7,60.5
84,Albania,10.0,44.0,0.0,3.0,60.5,9.0,97.0,6.0,0.0,27.1,177.0,2.0,7.0,525.0,22.0,6.0,10.4,5.5,6.0,357.0,34.0,36.5,,,20.7142857142857,564.0,618.0,279.0,14.0,12.5,15.3,6.2,95.2,94.9,95.1,11.0,1900.0,0.0533605376602974,93.2,90.2,95.5,29.0,11.2,12.5,13.7
85,Bosnia and Herzegovina,8.0,35.0,1.0,4.0,63.71,3.0,79.0,6.0,9.9,38.0,125.0,3.3,7.0,595.0,24.0,7.0,14.8,67.0,12.0,420.0,45.0,23.3,179.0,15.0,21.4285714285714,159.0,169.0,124.0,5.4,4.8,5.9,4.0,100.0,99.7,99.9,4.0,6800.0,0.0146235949769799,94.8,92.0,98.9,11.0,4.6,5.1,5.6
86,Lesotho,7.0,1.0,4.0,2.0,57.69,3.0,114.0,0.0,1.0,0.0,114.0,2.6,5.0,615.0,43.0,4.0,9.3,29.0,7.0,324.0,32.0,13.6,179.0,11.0,25.0,4317.0,5570.0,2045.0,90.2,83.1,97.1,32.7,77.0,94.6,81.8,300.0,61.0,1.62713877293158,30.3,27.6,37.3,487.0,62.6,69.2,75.3
87,Dominican Republic,14.0,29.0,42.0,6.0,61.16,5.0,93.0,8.0,74.6,23.2,82.0,3.5,1.0,460.0,45.0,6.0,16.4,14.5,7.0,316.0,7.0,42.4,184.0,13.0,20.7650273224044,5572.0,6710.0,4706.0,30.9,27.7,33.8,21.7,81.9,85.4,84.7,200.0,400.0,0.24781820008896696,84.0,75.7,86.2,92.0,23.1,25.7,28.1
88,Mongolia,24.0,2.0,0.0,10.0,68.83,6.0,56.0,7.0,0.0,40.5,79.0,4.0,5.0,374.0,10.5,5.0,1.5,6.0,5.0,148.0,41.0,24.4,137.0,17.0,14.8648648648649,1348.0,1581.0,789.0,22.4,17.9,26.6,11.1,59.2,66.4,64.4,30.0,800.0,0.125374056428275,59.7,42.6,66.4,44.0,15.1,19.0,22.8
89,Swaziland,13.0,4.0,11.0,7.0,59.1,2.0,105.0,7.0,46.4,0.0,137.0,2.0,4.0,956.0,21.0,9.0,23.4,30.0,12.0,110.0,33.0,34.7,96.0,13.0,6.153846153846152,1631.0,2221.0,519.0,60.7,55.9,65.2,14.2,68.9,93.6,74.1,150.0,76.0,1.3109104985179298,57.5,56.0,63.1,389.0,39.8,44.5,48.8
90,Greece,16.0,80.0,59.0,10.0,68.38,7.0,60.0,7.0,81.2,0.0,51.0,3.5,3.0,1580.0,20.0,10.0,2.2,13.0,5.0,193.0,8.0,49.6,124.0,18.0,23.0,382.0,489.0,307.0,4.6,4.3,4.9,2.9,100.0,100.0,100.0,3.0,23700.0,0.00422204071228985,99.0,98.1,99.2,3.0,3.3,3.6,3.9
91,Lebanon,12.0,27.0,5.0,9.0,56.39,9.0,123.0,6.0,0.0,23.9,75.0,3.0,2.0,721.0,34.0,8.0,34.0,15.0,6.0,183.0,20.0,30.3,244.0,18.0,3.125,726.0,835.0,491.0,8.3,7.9,8.6,4.8,99.0,99.0,99.0,13.0,3700.0,0.0272700650371935,80.7,80.7,80.7,15.0,6.8,7.1,7.3
92,Hungary,13.0,9.0,12.0,2.0,72.57,2.0,42.0,5.0,88.6,0.0,252.0,2.0,10.0,395.0,16.5,4.0,7.3,5.0,4.0,277.0,11.0,48.4,179.0,23.0,10.1010101010101,461.0,518.0,304.0,5.9,5.4,6.4,3.5,100.0,100.0,100.0,15.0,4400.0,0.0228129148630104,98.0,98.6,97.8,17.0,4.9,5.3,5.7
93,Honduras,11.0,42.0,121.0,8.0,58.06,3.0,110.0,8.0,36.2,22.2,39.0,3.8,9.0,920.0,22.0,6.0,38.7,14.0,12.0,224.0,48.0,44.3,82.0,15.0,25.78125,2832.0,3333.0,1787.0,20.4,18.1,22.6,11.0,83.8,97.4,91.2,220.0,300.0,0.3369169001031469,82.6,77.7,86.7,129.0,15.4,17.4,19.3
94,Tajikistan,15.0,5.0,12.0,6.0,54.19,8.0,132.0,7.0,15.9,0.0,133.0,1.7,1.0,430.0,37.0,6.0,21.5,11.0,4.0,276.0,28.0,81.8,242.0,27.0,19.047619047618998,10293.0,11799.0,5494.0,44.8,39.7,49.7,20.5,66.7,93.1,73.8,82.0,790.0,0.12713745806908,95.0,95.5,93.8,32.0,33.9,38.5,42.9
95,Tunisia,10.0,39.0,7.0,13.0,64.88,4.0,74.0,5.0,0.0,28.9,65.0,1.3,2.0,565.0,39.0,4.0,3.9,11.0,10.0,144.0,8.0,59.9,93.0,17.0,31.3364055299539,2546.0,2919.0,1724.0,14.0,12.7,15.3,8.2,93.2,100.0,97.7,130.0,710.0,0.140912438900575,91.6,79.8,97.4,62.0,10.9,12.1,13.3
96,Bangladesh,33.0,21.0,21.0,33.0,43.1,6.0,174.0,0.0,0.0,0.9,428.9,4.0,6.0,1442.0,244.0,8.0,13.9,19.5,9.0,302.0,21.0,31.6,269.0,13.4,20.0,97478.0,119326.0,74378.0,37.6,34.7,40.4,23.3,87.0,86.5,86.9,5500.0,240.0,0.421170638324937,60.6,62.1,57.7,176.0,28.0,30.7,33.3
97,Ukraine,18.0,24.0,19.0,9.0,63.04,4.0,83.0,7.0,36.7,0.0,263.0,2.9,8.0,378.0,23.0,7.0,0.6,7.0,4.0,350.0,5.0,52.2,67.0,10.0,11.848341232227499,3331.0,3997.0,2378.0,9.0,8.1,9.9,5.5,97.8,95.5,96.2,120.0,2600.0,0.037862152311881,95.9,92.6,97.4,24.0,6.9,7.7,8.5
98,Iraq,19.0,17.0,1.0,13.0,46.06,4.0,161.0,0.0,0.0,0.0,77.0,,1.0,520.0,51.0,5.0,39.8,29.0,10.0,312.0,14.0,27.8,249.0,12.0,26.524390243902396,32258.0,38682.0,22482.0,32.0,28.9,34.9,18.4,70.1,93.8,86.6,620.0,420.0,0.24056475447637696,85.6,83.8,86.4,50.0,23.8,26.5,29.0
99,South Africa,46.0,103.0,116.0,25.0,64.89,8.0,73.0,7.0,62.0,0.0,226.0,2.0,5.0,600.0,23.0,7.0,0.3,46.0,6.0,200.0,7.0,28.8,141.0,19.0,41.9191919191919,34078.0,41930.0,11141.0,40.5,37.3,46.5,11.0,81.4,99.6,93.2,1500.0,300.0,0.333630207691807,66.4,60.5,69.6,138.0,28.8,33.6,36.2
100,Ghana,20.0,56.0,119.0,20.0,57.69,7.0,114.0,6.0,16.3,0.0,79.0,1.9,7.0,710.0,46.0,5.0,19.4,14.0,8.0,224.0,33.0,32.7,216.0,15.0,10.909090909090901,38211.0,54061.0,25402.0,61.6,56.2,66.7,28.3,84.0,92.6,88.7,2800.0,74.0,1.34487920620275,14.9,8.6,20.2,319.0,38.2,42.8,47.1
101,Zimbabwe,17.0,3.0,17.0,10.0,48.17,8.0,155.0,5.0,32.1,0.0,106.0,3.3,5.0,410.0,36.0,5.0,112.0,90.0,9.0,242.0,49.0,32.8,448.0,10.0,31.4814814814815,25398.0,38087.0,12836.0,70.7,64.9,76.1,23.5,67.3,97.0,76.9,2400.0,52.0,1.93896426086029,36.8,30.8,49.3,443.0,41.2,46.6,51.8
102,Liberia,13.0,62.0,50.0,24.0,40.19,4.0,179.0,0.0,0.0,1.8,465.0,3.0,8.0,1280.0,44.0,10.0,16.8,4.5,4.0,139.5,33.0,47.8,74.0,22.0,10.958904109589,7974.0,10509.0,3644.0,69.9,64.8,74.7,24.1,62.6,88.6,75.6,1100.0,28.0,3.55258818700446,16.9,5.9,28.0,725.0,48.2,52.8,57.2
103,India,84.0,216.0,385.0,93.0,54.68,7.0,130.0,7.0,22.0,0.0,90.1,4.3,6.0,1420.0,47.0,7.0,13.5,29.0,12.9,243.0,33.0,60.6,191.5,33.6,11.970534069981596,946304.0,1200998.0,695852.0,47.7,49.2,46.3,27.7,92.6,97.1,94.1,45000.0,220.0,0.45279253055489704,39.6,28.5,62.6,174.0,38.0,37.9,37.8
104,Sudan,23.0,22.0,16.0,12.0,46.97,0.0,159.0,0.0,1.5,0.0,70.0,2.0,3.0,810.0,9.0,6.0,14.8,36.0,10.0,180.0,42.0,45.4,270.0,15.0,30.516431924882607,61285.0,89488.0,38567.0,70.1,65.1,74.8,29.8,,,,4100.0,72.0,1.38887986214656,,,,311.0,42.8,47.6,52.0
105,Haiti,14.0,30.0,42.0,5.0,39.56,2.0,182.0,0.0,0.0,1.6,60.0,,2.0,530.0,312.0,5.0,235.3,97.0,12.0,184.0,47.0,40.3,80.0,12.0,4.21052631578947,13407.0,17841.0,6537.0,69.0,63.1,74.6,25.4,47.6,64.9,57.7,950.0,90.0,1.1061946324324399,27.6,19.2,33.6,359.0,47.0,52.2,57.3
106,Nepal,36.0,7.0,17.0,31.0,60.41,6.0,99.0,0.0,1.3,0.0,70.0,2.0,6.0,910.0,5.0,3.0,28.4,17.0,7.0,334.0,34.0,29.5,86.0,10.0,29.5492487479132,16144.0,19900.0,12252.0,35.8,33.6,37.9,22.2,91.8,90.9,91.6,1500.0,150.0,0.647685537723153,45.8,43.5,56.0,258.0,27.0,29.4,31.7
107,Ethiopia,32.0,14.0,41.0,33.0,49.73,3.0,146.0,0.0,0.0,0.2,95.0,3.0,3.0,530.0,52.0,7.0,76.1,19.0,11.0,306.0,30.0,32.1,129.0,10.0,,129947.0,184186.0,87414.0,59.2,53.6,64.5,27.7,48.6,93.1,57.3,11000.0,64.0,1.55595120961611,28.0,28.2,27.2,353.0,36.3,41.4,46.3
108,Sierra Leone,15.0,56.0,62.0,22.0,49.69,6.0,147.0,0.0,0.0,1.2,82.0,2.3,5.0,515.0,56.0,7.0,44.2,10.0,6.0,344.0,34.0,31.0,166.0,16.0,12.396694214876002,19014.0,26466.0,7615.0,120.4,113.1,127.3,34.9,47.8,84.9,62.6,3100.0,17.0,5.93782378973531,13.3,6.9,22.8,1360.0,80.5,87.1,93.2
109,Mauritania,15.0,43.0,0.0,16.0,44.74,6.0,168.0,2.0,0.0,6.1,70.0,,2.0,370.0,49.0,4.0,18.5,8.0,6.0,734.0,49.0,71.3,104.0,13.0,25.1700680272109,8523.0,11050.0,4695.0,84.7,79.5,95.8,35.7,57.1,58.4,57.9,810.0,36.0,2.7440057817808903,40.0,13.8,57.5,602.0,58.7,65.1,73.4
110,Kenya,39.0,70.0,222.0,30.0,58.24,3.0,108.0,7.0,14.3,0.0,110.0,4.5,7.0,465.0,61.0,9.0,35.3,26.0,11.0,201.5,30.0,37.1,146.0,15.0,19.7142857142857,53749.0,74429.0,33741.0,49.4,45.2,53.4,22.2,56.8,81.6,63.2,8000.0,42.0,2.353192765234,30.1,29.7,31.2,510.0,32.0,35.5,38.8
111,Djibouti,11.0,18.0,3.0,6.0,44.25,4.0,171.0,0.0,0.0,0.4,125.0,2.3,1.0,1225.0,39.0,6.0,168.1,14.0,7.0,82.0,36.0,37.6,111.0,17.0,12.727272727272696,1190.0,1429.0,737.0,65.3,59.3,71.1,33.4,64.7,97.4,90.0,50.0,140.0,0.6980125000686128,47.4,5.1,59.8,229.0,49.1,54.2,59.2
112,Armenia,15.0,3.0,71.0,8.0,74.22,5.0,35.0,8.0,94.1,0.0,180.0,1.9,5.0,570.0,7.0,3.0,1.0,3.0,2.0,313.0,10.0,19.9,84.0,18.0,10.6870229007634,513.0,577.0,301.0,14.1,12.5,15.6,7.4,100.0,100.0,100.0,10.0,2300.0,0.0426649319269288,89.5,78.2,96.2,25.0,11.1,12.6,13.9
113,Botswana,13.0,2.0,2.0,8.0,64.98,7.0,72.0,6.0,51.1,0.0,77.0,1.7,5.0,625.0,12.0,4.0,0.7,48.0,9.0,152.0,34.0,25.1,110.0,19.0,9.52380952380952,2007.0,2488.0,1268.0,43.6,39.8,47.2,21.9,92.3,99.2,96.2,72.0,270.0,0.3748789292849021,63.4,43.1,78.5,129.0,31.5,34.8,37.9
114,Myanmar,48.0,43.0,61.0,46.0,45.27,3.0,167.0,0.0,0.0,0.0,77.0,5.0,2.0,1160.0,85.0,6.0,97.1,13.0,11.0,188.0,31.0,31.4,95.0,14.0,6.19047619047619,36176.0,46284.0,24302.0,50.0,44.9,54.9,26.4,74.4,92.7,80.6,1700.0,260.0,0.384770651869194,79.6,77.1,84.3,178.0,34.9,39.5,43.8
115,Georgia,15.0,11.0,61.0,8.0,77.45,9.0,24.0,8.0,74.5,0.0,71.0,2.0,9.0,285.0,1.0,1.0,3.1,2.0,2.0,362.0,5.0,16.4,48.0,7.0,11.333333333333302,601.0,673.0,408.0,11.9,10.5,13.3,7.2,100.0,100.0,100.0,19.0,1500.0,0.0677023774558366,86.3,75.9,95.2,36.0,9.3,10.6,11.9
116,Malawi,18.0,98.0,25.0,8.0,51.03,4.0,141.0,0.0,0.0,0.0,127.0,2.6,5.0,432.0,69.0,6.0,84.6,38.0,8.0,174.5,35.0,34.5,153.0,13.0,16.6666666666667,27260.0,40048.0,13720.0,64.0,59.5,68.3,21.8,89.1,95.7,90.2,4200.0,29.0,3.4524141867199396,41.0,39.8,47.3,634.0,39.6,43.4,47.0
117,Sri Lanka,16.0,46.0,291.0,30.0,58.96,6.0,107.0,6.0,50.3,0.0,100.0,1.7,3.0,1318.0,51.0,9.0,18.7,10.0,8.0,167.0,47.0,55.2,116.0,12.0,5.77777777777778,2620.0,3091.0,1683.0,9.8,8.8,10.7,5.4,95.0,98.5,95.6,98.0,1600.0,0.0634978920148956,95.1,96.7,88.1,30.0,7.5,8.4,9.2
118,Cameroon,26.0,119.0,490.0,43.0,44.11,7.0,172.0,1.0,0.0,6.5,64.0,2.8,6.0,800.0,86.0,5.0,32.7,15.0,5.0,630.0,44.0,48.8,150.0,15.0,31.11111111111111,46762.0,71348.0,21071.0,87.9,81.7,93.5,25.7,52.7,94.8,75.6,5100.0,35.0,2.88839261775741,45.8,26.8,61.8,596.0,51.4,57.1,62.4
119,Bulgaria,18.0,22.0,6.0,7.0,73.72,10.0,38.0,5.0,0.0,64.7,130.0,3.3,9.0,564.0,11.0,8.0,0.7,18.0,4.0,423.0,14.0,27.0,110.0,16.0,20.4166666666667,557.0,634.0,335.0,10.4,9.3,11.5,5.6,99.0,99.6,99.4,7.0,6200.0,0.0161819666750275,86.0,83.7,86.8,11.0,8.3,9.3,10.3
120,Angola,26.0,50.0,34.0,17.0,39.64,4.0,181.0,0.0,0.0,3.3,145.0,,1.0,1296.0,190.0,7.0,22.5,36.0,8.0,282.0,30.0,48.4,203.0,10.0,36.8181818181818,104291.0,169310.0,53164.0,156.9,148.9,164.6,48.7,28.2,75.4,49.0,5400.0,32.0,3.08488586514674,51.6,22.5,88.6,477.0,87.9,96.0,103.7
121,Mali,16.0,2.0,8.0,12.0,50.81,7.0,143.0,0.0,0.0,0.1,120.0,3.6,6.0,620.0,29.0,5.0,71.3,8.5,5.0,270.0,35.0,48.3,124.0,13.0,8.84353741496599,53880.0,82710.0,27439.0,114.7,108.4,120.4,37.8,64.1,96.5,77.0,4400.0,27.0,3.74089087682092,24.7,16.1,37.5,587.0,68.2,74.5,80.4
122,Comoros,10.0,8.0,7.0,5.0,48.22,7.0,154.0,2.0,0.0,7.4,120.0,,6.0,506.0,30.0,4.0,118.2,15.0,8.0,100.0,33.0,216.5,108.0,10.0,3.03030303030303,1433.0,1897.0,889.0,73.5,67.8,79.0,34.0,89.1,92.6,90.1,88.0,66.0,1.51743712608214,35.8,30.9,48.3,335.0,50.1,55.1,60.0
123,Uganda,25.0,61.0,52.0,27.0,56.64,3.0,122.0,7.0,5.3,0.0,86.0,2.2,6.0,490.0,42.0,10.0,39.7,27.0,15.0,209.0,31.0,36.5,159.0,18.0,34.9740932642487,59856.0,85291.0,29738.0,54.6,49.1,59.9,18.7,75.8,95.5,79.0,5700.0,47.0,2.1283034635971,19.1,17.3,28.5,343.0,33.7,37.7,41.6
124,Senegal,16.0,54.0,11.0,17.0,48.57,7.0,153.0,0.0,0.0,0.5,81.0,3.0,6.0,740.0,71.0,5.0,63.7,6.0,4.0,620.0,58.0,47.3,200.0,13.0,42.6666666666667,24123.0,27059.0,12055.0,47.2,44.3,54.0,20.8,67.3,92.9,78.5,1800.0,61.0,1.63320028488616,47.6,33.8,65.4,315.0,37.8,41.7,46.5
125,Gabon,6.0,71.0,154.0,19.0,45.99,7.0,162.0,2.0,0.0,52.0,148.0,5.0,6.0,1070.0,103.0,6.0,15.1,50.0,7.0,488.0,26.0,45.7,329.0,12.0,14.166666666666698,1852.0,2579.0,1195.0,50.8,45.8,55.3,23.2,66.7,97.2,93.2,150.0,85.0,1.1739566867250901,41.9,31.5,43.4,291.0,31.6,36.1,40.2
126,Niger,11.0,4.0,3.0,12.0,46.37,7.0,160.0,0.0,0.0,0.3,115.0,5.0,6.0,545.0,35.0,4.0,67.8,15.0,6.0,270.0,41.0,48.2,112.0,15.0,13.274336283185804,54226.0,87967.0,25495.0,95.5,90.9,99.8,26.8,48.6,100.0,58.2,5400.0,23.0,4.36993037066367,10.9,4.6,37.9,553.0,52.1,57.1,61.8
127,Cambodia,27.0,44.0,36.0,36.0,55.22,5.0,127.0,5.0,37.0,0.0,179.0,6.0,11.0,483.0,56.0,7.0,78.7,87.0,7.0,173.0,40.0,21.0,652.0,20.0,20.325203252032498,8759.0,10257.0,5282.0,28.7,25.2,32.0,14.8,69.1,100.0,75.5,590.0,210.0,0.47297294649920396,42.4,30.5,88.1,161.0,21.5,24.6,27.6
128,Tanzania,47.0,175.0,602.0,38.0,51.62,2.0,139.0,0.0,4.97,0.0,109.0,3.0,5.0,515.0,67.0,8.0,18.0,26.0,9.0,179.0,49.0,43.9,205.0,18.0,36.0,72069.0,98180.0,38575.0,48.7,45.0,52.1,18.8,45.5,77.2,55.6,8200.0,45.0,2.20240526714101,15.6,8.3,31.3,398.0,32.3,35.2,37.8
