,Country,EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,IC.BUS.DFRN.XQ,IC.BUS.DISC.XQ,IC.BUS.EASE.XQ,IC.CRD.INFO.XQ,IC.CRD.PRVT.ZS,IC.CRD.PUBL.ZS,IC.ELC.TIME,IC.ISV.DURS,IC.LGL.CRED.XQ,IC.LGL.DURS,IC.PRP.DURS,IC.PRP.PROC,IC.REG.COST.PC.ZS,IC.REG.DURS,IC.REG.PROC,IC.TAX.DURS,IC.TAX.PAYM,IC.TAX.TOTL.CP.ZS,IC.WRH.DURS,IC.WRH.PROC,SG.GEN.PARL.ZS,SH.DTH.IMRT,SH.DTH.MORT,SH.DTH.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NMRT,SH.H2O.SAFE.RU.ZS,SH.H2O.SAFE.UR.ZS,SH.H2O.SAFE.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.STA.ACSN,SH.STA.ACSN.RU,SH.STA.ACSN.UR,SH.STA.MMRT,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN
13,Mexico,61.0,179.0,382.0,101.0,73.72,8.0,38.0,8.0,100.0,0.0,78.9,1.8,10.0,389.0,63.7,6.8,17.9,6.3,6.0,286.0,6.0,51.7,86.4,10.5,38.0,26820.0,31278.0,16596.0,13.2,11.9,14.4,7.0,92.1,97.2,96.1,890.0,1100.0,0.0888611041768879,85.2,74.5,88.0,38.0,10.2,11.3,12.4
14,United States,77.0,247.0,379.0,35.0,82.15,7.4,7.0,8.0,100.0,0.0,89.6,1.5,11.0,420.0,15.2,4.4,1.1,5.6,6.0,175.0,10.6,43.9,80.6,15.8,19.399538106235603,21321.0,24923.0,13699.0,6.5,5.9,7.1,3.6,98.2,99.4,99.2,550.0,3800.0,0.0261155611660945,100.0,100.0,100.0,14.0,5.0,5.6,6.1
15,Brazil,165.0,85.0,516.0,82.0,57.67,5.0,116.0,7.0,79.0,55.1,43.6,4.0,2.0,731.0,31.7,13.6,3.8,83.0,11.0,2600.0,9.6,69.2,425.7,18.2,9.94152046783626,46995.0,52415.0,28604.0,16.4,14.9,17.7,8.9,87.0,100.0,98.1,1300.0,1200.0,0.080088381024304,82.8,51.5,88.0,44.0,13.3,14.6,15.8
16,Luxembourg,3.0,1.0,0.0,0.0,68.31,6.0,61.0,0.0,0.0,0.0,56.0,2.0,3.0,321.0,26.5,7.0,2.0,18.5,6.0,55.0,23.0,20.1,157.0,11.0,28.3333333333333,10.0,13.0,6.0,1.9,1.7,2.0,0.9,100.0,100.0,100.0,1.0,6500.0,0.0154797646652159,97.6,98.5,97.5,10.0,1.3,1.5,1.6
17,Ireland,7.0,27.0,3.0,5.0,79.15,9.0,17.0,7.0,100.0,0.0,85.0,0.4,7.0,650.0,31.5,5.0,0.2,6.0,4.0,82.0,9.0,25.9,149.5,10.0,16.2650602409639,201.0,244.0,154.0,3.6,3.3,3.9,2.3,97.8,97.9,97.9,5.0,6100.0,0.0163693376739088,90.5,92.9,89.1,8.0,2.7,3.0,3.3
18,Belgium,8.0,13.0,1.0,2.0,72.5,8.0,43.0,5.0,0.0,96.3,88.0,0.9,4.0,505.0,56.0,8.0,4.8,4.0,3.0,161.0,11.0,58.4,212.0,10.0,39.3333333333333,417.0,522.0,278.0,4.1,3.7,4.6,2.2,100.0,100.0,100.0,9.0,8000.0,0.0125656689169982,99.5,99.4,99.5,7.0,2.9,3.3,3.6
19,United Arab Emirates,12.0,14.0,0.0,7.0,75.1,10.0,31.0,7.0,38.4,7.7,32.0,3.2,2.0,495.0,1.5,2.0,6.2,8.0,6.0,12.0,4.0,15.9,43.5,8.0,17.5,571.0,661.0,339.0,6.8,6.1,7.5,3.5,100.0,99.6,99.6,6.0,7900.0,0.0126547581642024,97.6,95.2,98.0,6.0,5.2,5.9,6.4
20,United Kingdom,8.0,47.0,22.0,5.0,82.46,10.0,6.0,8.0,100.0,0.0,79.0,1.0,7.0,437.0,21.5,6.0,0.1,4.5,4.0,110.0,8.0,32.0,105.0,9.0,29.384615384615397,2655.0,3235.0,1820.0,4.2,3.8,4.7,2.4,100.0,100.0,100.0,74.0,5800.0,0.0173432025961854,99.2,99.6,99.1,9.0,3.2,3.5,3.9
21,Oman,13.0,27.0,6.0,9.0,65.4,8.0,70.0,6.0,0.0,23.3,62.0,4.0,1.0,598.0,16.0,2.0,3.2,7.0,5.0,68.0,14.0,22.9,157.0,12.0,1.19047619047619,804.0,935.0,422.0,11.6,10.4,12.6,5.2,86.1,95.5,93.4,14.0,1900.0,0.0539385413233686,96.7,94.7,97.3,17.0,8.9,9.9,10.9
22,Singapore,17.0,26.0,58.0,12.0,87.34,10.0,1.0,7.0,58.6,0.0,31.0,0.8,8.0,150.0,4.5,4.0,0.6,2.5,3.0,83.5,6.0,18.4,26.0,10.0,25.252525252525306,112.0,145.0,53.0,2.7,2.5,2.9,1.0,,100.0,100.0,5.0,8200.0,0.0121255580081734,100.0,,100.0,10.0,1.9,2.1,2.3
