,Country,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
87,Dominican Republic,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,1.21305
88,Mongolia,0.82819,1.3006,0.60268,0.43626000000000004,0.026660000000000003,0.3323,1.34759
89,Swaziland,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676
90,Greece,1.15406,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0,1.8010099999999998
91,Lebanon,1.0256399999999999,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059
92,Hungary,1.12094,1.20215,0.75905,0.32111999999999996,0.02758,0.128,1.24074
93,Honduras,0.59532,0.9534799999999999,0.6951,0.40148,0.06825,0.23026999999999997,1.84408
94,Tajikistan,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974,2.1139900000000003
95,Tunisia,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466
96,Bangladesh,0.39753,0.43106000000000005,0.60164,0.4082,0.12569,0.21222,2.51767
97,Ukraine,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714
98,Iraq,0.98549,0.81889,0.60237,0.0,0.13788,0.17922000000000002,1.95335
99,South Africa,0.9204899999999999,1.18468,0.27688,0.33207,0.08884,0.11972999999999999,1.7195599999999998
100,Ghana,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.04355,0.23087,2.30919
101,Zimbabwe,0.271,1.0327600000000001,0.33475,0.25861,0.08079,0.18987,2.44191
102,Liberia,0.0712,0.78968,0.34201,0.28531,0.06232000000000001,0.24361999999999998,2.7772900000000003
103,India,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2.27513
104,Sudan,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857
105,Haiti,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173
106,Nepal,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997,1.9563700000000002
